Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Divine Comedy","Dante's Wall > 03-First Pullout (Calico I) > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/109868733/divine-comedy,3.3,-1,Sport,5.10a,1,65,36.14497,-115.42471
"Squid Kid","3. Trailhead Wall > Monitor Rock > Independence Pass > Colorado",https://www.mountainproject.com/route/105755872/squid-kid,3.4,-1,Sport,5.10a,1,,39.0726,-106.4513
Selam,"Lower Virgin > Virgin Canyon > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106333385/selam,3.4,-1,Sport,5.10a,1,130,25.95088,-100.47866
Boltergeist,"The Hideout > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106580228/boltergeist,3.3,-1,Sport,5.10a/b,1,105,37.73189,-83.63725
"The Hot Zone","The Catacomb > The Monastery > Big Thompson Canyon > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105756643/the-hot-zone,3.4,-1,Sport,5.9-,1,,40.45337,-105.3695
"Man Servant","Mr. Magoo Rock > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/106048554/man-servant,3.4,-1,Sport,5.9+,1,55,36.0055,-93.2861
"Black Elk","Good Medicine Area > Ruth Lake > Uinta Mountains > Utah",https://www.mountainproject.com/route/105741140/black-elk,3.3,-1,Sport,5.10a,1,70,40.73091,-110.87835
"Strike A Scowl","G) Diamond Point > Endless Wall > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105963042/strike-a-scowl,3.3,-1,Sport,5.10,1,75,38.05317,-81.05956
"Borrowing From Tradition","Area 13 - Left Side > Area 13 > Clark Canyon > Mammoth Lakes Area > Sierra Eastside > California",https://www.mountainproject.com/route/106173656/borrowing-from-tradition,3.5,-1,Sport,5.10b,1,90,37.78854,-118.91226
jasonbecker.com,"The Bank > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/106169770/jasonbeckercom,3.3,-1,Sport,5.10-,1,50,38.6331,-105.2297
"Beer Bong","Dream Land > Mondo Beyondo > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/105846621/beer-bong,3.3,-1,Sport,5.10b,1,80,44.13293,-107.25738
Commodus,"Roman Wall > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/105970902/commodus,3.3,-1,Sport,5.10b,1,65,36.00546,-93.2851
"Clean Slate","Middle Area > The Peak’s Crag > San Francisco Peaks > Flagstaff Crags > Northern Arizona > Arizona",https://www.mountainproject.com/route/110535353/clean-slate,3.3,-1,Sport,5.9,1,70,35.30686,-111.70529
"Pocket Puzzle","The Pond > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/105830204/pocket-puzzle,3.3,-1,Sport,5.10a,1,,33.3104,-111.06756
